-4.63E-01,-1.5
-4.63E-01,-1.5
-4.63E-01,-1.5
-4.63E-01,-1.5
-4.63E-01,-1.5
-4.62E-01,-1.5
-4.62E-01,-2.5
-4.62E-01,-2.5
-4.62E-01,-1.5
-4.62E-01,-0.5
-4.62E-01,-1.5
-4.62E-01,-1.5
-4.62E-01,-1.5
-4.62E-01,-1.5
-4.62E-01,-2.5
-4.61E-01,-0.5
-4.61E-01,-1.5
-4.61E-01,-0.5
-4.61E-01,-2.5
-4.61E-01,-1.5
-4.61E-01,-1.5
-4.61E-01,-1.5
-4.61E-01,0.5
-4.61E-01,-1.5
-4.61E-01,-1.5
-4.60E-01,-0.5
-4.60E-01,-1.5
-4.60E-01,-1.5
-4.60E-01,-2.5
-4.60E-01,-1.5
-4.60E-01,-1.5
-4.60E-01,-1.5
-4.60E-01,-0.5
-4.60E-01,-0.5
-4.60E-01,-1.5
-4.59E-01,-1.5
-4.59E-01,-0.5
-4.59E-01,-1.5
-4.59E-01,-1.5
-4.59E-01,-0.5
-4.59E-01,-1.5
-4.59E-01,-1.5
-4.59E-01,-2.5
-4.59E-01,-0.5
-4.59E-01,-0.5
-4.58E-01,-0.5
-4.58E-01,-0.5
-4.58E-01,-1.5
-4.58E-01,-2.5
-4.58E-01,-0.5
-4.58E-01,-1.5
-4.58E-01,-0.5
-4.58E-01,-0.5
-4.58E-01,-1.5
-4.58E-01,-1.5
-4.57E-01,-1.5
-4.57E-01,-1.5
-4.57E-01,-1.5
-4.57E-01,-1.5
-4.57E-01,-0.5
-4.57E-01,-1.5
-4.57E-01,-1.5
-4.57E-01,-1.5
-4.57E-01,-1.5
-4.57E-01,-1.5
-4.56E-01,-0.5
-4.56E-01,-1.5
-4.56E-01,-1.5
-4.56E-01,-2.5
-4.56E-01,-1.5
-4.56E-01,-2.5
-4.56E-01,-0.5
-4.56E-01,-2.5
-4.56E-01,-1.5
-4.56E-01,-0.5
-4.55E-01,-1.5
-4.55E-01,-0.5
-4.55E-01,-0.5
-4.55E-01,-1.5
-4.55E-01,-0.5
-4.55E-01,-2.5
-4.55E-01,-1.5
-4.55E-01,-1.5
-4.55E-01,-1.5
-4.55E-01,-1.5
-4.54E-01,-1.5
-4.54E-01,-0.5
-4.54E-01,-1.5
-4.54E-01,-1.5
-4.54E-01,-1.5
-4.54E-01,-2.5
-4.54E-01,-5.5
-4.54E-01,-12.5
-4.54E-01,-17.5
-4.54E-01,-23.5
-4.53E-01,-28.5
-4.53E-01,-34.5
-4.53E-01,-40.5
-4.53E-01,-45.5
-4.53E-01,-50.5
-4.53E-01,-57.5
-4.53E-01,-61.5
-4.53E-01,-66.5
-4.53E-01,-71.5
-4.53E-01,-75.5
-4.52E-01,-80.5
-4.52E-01,-82.5
-4.52E-01,-86.5
-4.52E-01,-89.5
-4.52E-01,-93.5
-4.52E-01,-96.5
-4.52E-01,-98.5
-4.52E-01,-100.5
-4.52E-01,-102.5
-4.52E-01,-103.5
-4.51E-01,-105.5
-4.51E-01,-106.5
-4.51E-01,-107.5
-4.51E-01,-107.5
-4.51E-01,-107.5
-4.51E-01,-107.5
-4.51E-01,-108.5
-4.51E-01,-106.5
-4.51E-01,-106.5
-4.51E-01,-104.5
-4.50E-01,-101.5
-4.50E-01,-101.5
-4.50E-01,-98.5
-4.50E-01,-96.5
-4.50E-01,-93.5
-4.50E-01,-89.5
-4.50E-01,-87.5
-4.50E-01,-84.5
-4.50E-01,-80.5
-4.50E-01,-76.5
-4.49E-01,-72.5
-4.49E-01,-68.5
-4.49E-01,-64.5
-4.49E-01,-60.5
-4.49E-01,-54.5
-4.49E-01,-50.5
-4.49E-01,-45.5
-4.49E-01,-39.5
-4.49E-01,-35.5
-4.49E-01,-30.5
